Modelo,MSE,RMSE,R²
Regresión Lineal,14230525.897367954,3772.3369278695077,0.9849192387356599
Lasso (alpha=0.1),14232541.73008301,3772.604104605068,0.9849171024624017
Ridge (alpha=0.1),14230536.505731145,3772.3383339423767,0.9849192274934757
