Modelo,MSE,RMSE,R²
Regresión Lineal,9715596.221154496,3116.9851172494386,0.9973411295232197
Lasso (alpha=0.1),9715578.594261643,3116.982289693293,0.9973411343471774
Ridge (alpha=0.1),9715595.976210127,3116.985077957565,0.9973411295902538
